Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
ungehëwr;2;2;2;;;;;;;;;;;;
ungehûr;1;;;;;;;;;;;1;1;;
"ungehûre ";2;;;;;;;2;2;;;;;;
"ungenâden ";2;;;;;;;2;2;;;;;;
ungetrûwen;1;;;;;;;1;1;;;;;;
"ungetrûwen ";2;;;;;;;2;2;;;;;;
"ungewiter ";1;;;;;;;;;;;;;1;1
unmâze;2;;;;;;;;;;;1;1;1;1
"unmâze
";2;;;;;;;2;2;;;;;;
unmâzen;6;;;;;;;;;;;6;6;;
"unmâzen ";2;;;;;;;;;;;;;2;2
unrecht;1;;;;;1;1;;;;;;;;
unreht;11;;;;;;;2;2;2;2;;;7;7
unrehte;2;;;;;;;1;1;;;1;1;;
unrehten;1;;;;;;;1;1;;;;;;
"unrehten ";1;;;;;;;;;;;;;1;1
"unrehter ";1;;;;;;;;;;;;;1;1
"unrehtes ";1;;;;;;;;;;;;;1;1
unritterlich;3;;;;;;;;;;;;;3;3
unsinne;2;;;;;;;2;2;;;;;;
untriuwe;2;;;;;;;;;;;;;2;2
untriuwen;1;;;;;;;;;;;1;1;;
untriwe;2;;;;;;;;;;;2;2;;
"untrûwe ";2;;;;;;;2;2;;;;;;
unwert;2;;;;;;;2;2;;;;;;
"unwitz ";1;;;;;;;;;;;;;1;1
unwîse;2;;;;;;;2;2;;;;;;
unwîsen;1;;;;;;;;;;;1;1;;
unzuht;4;;;;;;;2;2;;;1;1;1;1
"unzuht ";1;;;;;;;;;;;;;1;1
"unêre
";1;;;;;;;1;1;;;;;;
unêren;2;;;;;;;1;1;;;;;1;1
velde;2;;;;;;;2;2;;;;;;
"velde
";2;;;;;;;2;2;;;;;;
velt;2;;;;;;;2;2;;;;;;
"velt ";2;;;;;;;2;2;;;;;;
verbrant;2;;;;;;;2;2;;;;;;
"verbrant
";2;;;;;;;2;2;;;;;;
"verderben
";1;;;;;;;;;;;;;1;1
"verderbest ";1;;;;;;;;;;;1;1;;
verdirbet;1;;;;;;;;;;;;;1;1
verhebet;2;;;;;;;2;2;;;;;;
"verhebet
";2;;;;;;;2;2;;;;;;
verslindet;2;;;;;;;2;2;;;;;;
"verslindet ";2;;;;;;;2;2;;;;;;
"verstêle ";2;;;;;;;2;2;;;;;;
verterben;3;;;;;;;;;;;3;3;;
"verterben
";4;;;;;;;4;4;;;;;;
verterbet;2;;;;;;;;;;;2;2;;
verterbte;1;;;;;;;;;;;1;1;;
vertorben;2;;;;;;;;;;;2;2;;
"vertunkelôte ";2;;;;;;;2;2;;;;;;
"vertôret ";2;;;;;;;2;2;;;;;;
"verwandelôte ";2;;;;;;;2;2;;;;;;
viech;1;;;;;1;1;;;;;;;;
vihe;2;;;;;;;;;;;2;2;;
vische;2;;;;;;;;;;;1;1;1;1
"vische ";4;;;;;;;4;4;;;;;;
vischen;2;2;2;;;;;;;;;;;;
"viske ";3;;;;;;;;;3;3;;;;
vogel;9;2;2;;;;;;;;;7;7;;
"vogel ";3;;;;;;;2;2;;;;;1;1
"vogele ";1;;;;;;;;;;;;;1;1
vogelîn;1;;;;;;;;;;;1;1;;
vogl;3;;;;;3;3;;;;;;;;
